Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,311167,-,-,-,33.45,-112.02,-7,327,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
2013,1,1,0,0,0,0,0,-6.334417724609352,2.4563232421875227,960.6155395507812,52.308837890625,167.4308620477574,1.3023008108139038
2013,1,1,0,30,0,0,0,-6.185491943359352,2.2282043457031477,960.489990234375,53.773040771484375,169.52184262985978,1.105068564414978
2013,1,1,1,0,0,0,0,-6.038061523437477,2.0000854492187727,960.364501953125,55.272762298583984,167.81737309945584,0.9078362584114075
2013,1,1,1,30,0,0,0,-6.592260742187477,1.8028503417968977,960.3190307617188,53.731529235839844,163.45578968654246,0.8362388610839844
2013,1,1,2,0,0,0,0,-7.168127441406227,1.6056152343750227,960.2735595703125,52.13692092895508,157.97306433742585,0.764641523361206
2013,1,1,2,30,0,0,0,-7.073461914062477,1.4433532714843977,960.187744140625,53.13206481933594,152.03589915890632,0.8459358215332031
2013,1,1,3,0,0,0,0,-6.979406738281227,1.2810913085937727,960.1019287109375,54.14415740966797,145.89892964128614,0.927230179309845
2013,1,1,3,30,0,0,0,-6.737615966796852,1.1404357910156477,960.1915893554688,55.71873092651367,139.67408286905498,1.038826584815979
2013,1,1,4,0,0,0,0,-6.499670410156227,0.9997497558593977,960.28125,57.320899963378906,133.42003020333416,1.1504229307174683
2013,1,1,4,30,0,0,0,-6.204290771484352,0.8748413085937727,960.43115234375,59.1596794128418,127.17343559013662,1.3293057680130005
2013,1,1,5,0,0,0,0,-5.914556884765602,0.7499328613281477,960.5810546875,61.028255462646484,120.9614462089824,1.5081886053085327
2013,1,1,5,30,0,0,0,-5.561712646484352,0.6408935546875227,960.8150634765625,63.183265686035156,114.80746138674066,1.7392256259918213
2013,1,1,6,0,0,0,0,-5.216864013671852,0.5318542480468977,961.0490112304688,65.3701400756836,108.73425659353916,1.9702625274658203
2013,1,1,6,30,0,0,0,-4.853430175781227,0.5503173828125227,961.2327880859375,67.10205078125,102.7660199391499,2.20863676071167
2013,1,1,7,0,0,0,0,-4.498480224609352,0.5687500000000227,961.4165649414062,68.83032989501953,96.92996937638323,2.4470112323760986
2013,1,1,7,30,0,0,0,-4.056982421874977,1.8866821289062727,961.5006103515625,64.72847747802734,91.25786863172576,2.6167092323303223
2013,1,1,8,0,24,395,53,-3.6289733886718523,3.2046142578125227,961.584716796875,60.86400604248047,85.78582988091945,2.786407470703125
2013,1,1,8,30,40,613,141,-3.2141479492187273,4.585412597656273,961.6936645507812,56.97364044189453,80.56393363684835,2.623936414718628
2013,1,1,9,0,51,735,233,-2.8114990234374773,5.966210937500023,961.8026123046875,53.335357666015625,75.6441717723433,2.461465358734131
