Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,311167,-,-,-,33.45,-112.02,-7,327,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
2008,1,1,0,0,0,0,0,-11.730596923828102,4.381463623046898,963.9283447265625,29.940935134887695,167.52921356109417,5.707531452178955
2008,1,1,0,30,0,0,0,-11.986975097656227,4.168817138671898,964.0748291015625,29.77201271057129,169.5888676292326,5.764657497406006
2008,1,1,1,0,0,0,0,-12.248327636718727,3.9561706542968977,964.2212524414062,29.591712951660156,167.83319764226493,5.821783542633057
2008,1,1,1,30,0,0,0,-12.503210449218727,3.7206054687500227,964.0490112304688,29.474580764770508,163.43835776118783,5.877623558044434
2008,1,1,2,0,0,0,0,-12.762854003906227,3.4850402832031477,963.8767700195312,29.346281051635742,157.93944978268945,5.9334635734558105
2008,1,1,2,30,0,0,0,-12.996984863281227,3.2473999023437727,963.563720703125,29.282787322998047,151.9943879216696,5.953902244567871
2008,1,1,3,0,0,0,0,-13.235021972656227,3.0097900390625227,963.2506713867188,29.209867477416992,145.85358977656742,5.974340438842773
2008,1,1,3,30,0,0,0,-13.417547607421852,2.7630554199218977,963.0440673828125,29.287635803222656,139.62715880848174,5.939836502075195
2008,1,1,4,0,0,0,0,-13.602484130859352,2.5163208007812727,962.8374633789062,29.36016273498535,133.37292109104737,5.905332565307617
2008,1,1,4,30,0,0,0,-13.715795898437477,2.2737060546875227,963.1097412109375,29.596799850463867,127.12712032693618,5.830706596374512
2008,1,1,5,0,0,0,0,-13.830175781249977,2.0311218261718977,963.3819580078125,29.833465576171875,120.91668770513013,5.7560811042785645
2008,1,1,5,30,0,0,0,-13.954931640624977,1.7947937011718977,963.60302734375,30.033857345581055,114.76491540488455,5.6566972732543945
2008,1,1,6,0,0,0,0,-14.080908203124977,1.5584960937500227,963.8240966796875,30.23310089111328,108.69453614643666,5.557313442230225
2008,1,1,6,30,0,0,0,-13.999334716796852,1.4070373535156477,964.0219116210938,30.76725959777832,102.72973770974079,5.464119911193848
2008,1,1,7,0,0,0,0,-13.918218994140602,1.2555786132812727,964.2197265625,31.30999183654785,96.89776867213709,5.370926856994629
2008,1,1,7,30,0,0,0,-13.543890380859352,2.2178894042968977,964.6528930664062,30.133373260498047,91.23044773576434,5.285977363586426
2008,1,1,8,0,27,59,31,-13.179663085937477,3.1802001953125227,965.0860595703125,28.989898681640625,85.76396163279806,5.201027870178223
2008,1,1,8,30,61,125,82,-12.497015380859352,5.244531250000023,965.27783203125,26.508880615234375,80.54847815129347,4.9939866065979
2008,1,1,9,0,97,174,140,-11.848883056640602,7.308862304687523,965.4696655273438,24.223102569580078,75.63608189605196,4.786945343017578
2008,1,1,9,30,64,820,330,-11.382543945312477,9.978417968750023,965.47705078125,20.990631103515625,71.0934984602851,4.654834747314453
2008,1,1,10,0,71,872,412,-10.936468505859352,12.647943115234398,965.4844360351562,18.22610855102539,66.99897753418057,4.522724628448486
2008,1,1,10,30,75,908,482,-11.444097900390602,14.749627685546898,965.0557250976562,15.268906593322754,63.441791187102645,4.620862007141113
2008,1,1,11,0,79,932,538,-11.971502685546852,16.851281738281273,964.6270141601562,12.797242164611816,60.51876508012261,4.718998908996582
2008,1,1,11,30,81,948,579,-11.823156738281227,17.936578369140648,964.161865234375,12.092438697814941,58.32687465757885,4.716179847717285
2008,1,1,12,0,83,956,604,-11.677954101562477,19.021844482421898,963.6967163085938,11.429937362670898,56.951714916833055,4.71336030960083
2008,1,1,12,30,135,697,520,-11.207006835937477,19.486749267578148,963.2896728515625,11.529387474060059,56.45367420588643,4.604499816894531
2008,1,1,13,0,200,488,467,-10.752416992187477,19.951684570312523,962.8826293945312,11.614038467407227,56.85604659573349,4.495639324188232
2008,1,1,13,30,164,571,465,-10.541174316406227,19.932794189453148,962.5955200195312,11.824071884155273,58.13996093882883,4.404199123382568
2008,1,1,14,0,207,331,372,-10.333166503906227,19.913903808593773,962.3084106445312,12.034485816955566,60.24851031286368,4.312758922576904
2008,1,1,14,30,116,633,403,-10.033422851562477,19.449639892578148,962.3065185546875,12.683087348937988,63.09812781934578,4.108755111694336
2008,1,1,15,0,142,411,306,-9.739691162109352,18.985345458984398,962.3045654296875,13.360883712768555,66.59244026724201,3.9047513008117676
2008,1,1,15,30,112,412,249,-8.053839111328102,17.552331542968773,962.276123046875,16.675762176513672,70.63417613494101,3.7065610885620117
2008,1,1,16,0,102,146,140,-6.540350341796852,16.119317626953148,962.2477416992188,20.522151947021484,75.13302941591189,3.5083706378936768
2008,1,1,16,30,56,315,111,-6.150671386718727,14.737939453125023,962.329345703125,23.100997924804688,80.00950173843025,3.7000341415405273
2008,1,1,17,0,30,181,45,-5.771337890624977,13.356591796875023,962.410888671875,26.005590438842773,85.19570430080033,3.891697883605957
2008,1,1,17,30,0,0,0,-6.008459472656227,13.074426269531273,962.6396484375,26.014551162719727,90.6330794982737,4.196334362030029
2008,1,1,18,0,0,0,0,-6.249761962890602,12.792260742187523,962.868408203125,26.015380859375,96.28571392409602,4.500970840454102
2008,1,1,18,30,0,0,0,-6.436437988281227,12.428979492187523,962.894775390625,26.264678955078125,102.10181368195724,4.745171070098877
2008,1,1,19,0,0,0,0,-6.625708007812477,12.065667724609398,962.9210815429688,26.512348175048828,108.0538240207768,4.989371299743652
2008,1,1,19,30,0,0,0,-6.598486328124977,11.670465087890648,963.1116943359375,27.268930435180664,114.11404044693924,5.098382949829102
2008,1,1,20,0,0,0,0,-6.571417236328102,11.275231933593773,963.30224609375,28.049150466918945,120.25796284791234,5.207394123077393
2008,1,1,20,30,0,0,0,-6.567327880859352,10.904321289062523,963.3333740234375,28.75676727294922,126.46270022987946,5.251641273498535
2008,1,1,21,0,0,0,0,-6.563330078124977,10.533410644531273,963.3645629882812,29.48418617248535,132.70500285422764,5.295888900756836
2008,1,1,21,30,0,0,0,-6.777624511718727,10.212091064453148,963.288330078125,29.632076263427734,138.95830956718677,5.3931965827941895
2008,1,1,22,0,0,0,0,-6.995214843749977,9.890802001953148,963.2120361328125,29.773845672607422,145.187401432346,5.490504264831543
2008,1,1,22,30,0,0,0,-7.531774902343727,9.684655761718773,963.051025390625,28.965288162231445,151.33702418516742,5.636541843414307
2008,1,1,23,0,0,0,0,-8.088812255859352,9.478479003906273,962.8900756835938,28.129423141479492,157.3038931962111,5.78257942199707
2008,1,1,23,30,0,0,0,-8.690985107421852,9.257775878906273,962.7666625976562,27.243242263793945,162.85773350354975,5.916727066040039
2008,1,2,0,0,0,0,0,-9.319403076171852,9.037042236328148,962.6432495117188,26.32518768310547,167.40238363006154,6.050874710083008
2008,1,2,0,30,0,0,0,-9.568487548828102,8.799890136718773,962.5091552734375,26.231857299804688,169.503395711496,6.139908790588379
2008,1,2,1,0,0,0,0,-9.822027587890602,8.562738037109398,962.3750610351562,26.129432678222656,167.81449599376234,6.22894287109375
2008,1,2,1,30,0,0,0,-9.809423828124977,8.517846679687523,962.3321533203125,26.234935760498047,163.46281262319482,6.283679962158203
2008,1,2,2,0,0,0,0,-9.796850585937477,8.472924804687523,962.2891845703125,26.340925216674805,157.9848446309233,6.3384175300598145
2008,1,2,2,30,0,0,0,-9.667181396484352,8.617333984375023,962.0899047851562,26.352266311645508,152.0499850201731,6.337766170501709
2008,1,2,3,0,0,0,0,-9.538793945312477,8.761743164062523,961.890625,26.361011505126953,145.9141313815977,6.3371148109436035
2008,1,2,3,30,0,0,0,-9.299444580078102,8.998803710937523,961.8080444335938,26.434526443481445,139.6897493180364,6.274003505706787
2008,1,2,4,0,0,0,0,-9.064154052734352,9.235894775390648,961.7254638671875,26.499540328979492,133.43575742021264,6.210892200469971
