Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,311167,-,-,-,33.45,-112.02,-7,327,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
2011,1,1,0,0,0,0,0,-12.183111572265602,-3.0576232910156023,959.5061645507812,49.38260269165039,167.49585843175896,3.219820976257324
2011,1,1,0,30,0,0,0,-12.147070312499977,-3.2085327148437273,959.5013427734375,50.085289001464844,169.5661560408262,3.247174024581909
2011,1,1,1,0,0,0,0,-12.111090087890602,-3.3594421386718523,959.4965209960938,50.79825973510742,167.8278535457294,3.274527072906494
2011,1,1,1,30,0,0,0,-12.099737548828102,-3.4758056640624773,959.7090454101562,51.288002014160156,163.4442602256928,3.2872793674468994
2011,1,1,2,0,0,0,0,-12.088354492187477,-3.5921386718749773,959.9215698242188,51.78273391723633,157.95081814791635,3.3000316619873047
2011,1,1,2,30,0,0,0,-12.124273681640602,-3.7088378906249773,959.9606323242188,52.085906982421875,152.00842170336816,3.3068180084228516
2011,1,1,3,0,0,0,0,-12.160314941406227,-3.8255676269531023,959.9996948242188,52.39095687866211,145.86891413380394,3.3136041164398193
2011,1,1,3,30,0,0,0,-12.212499999999977,-3.8984436035156023,960.1939086914062,52.45711898803711,139.64301489781298,3.3566195964813232
2011,1,1,4,0,0,0,0,-12.264898681640602,-3.9713500976562273,960.3881225585938,52.52262496948242,133.38883558985015,3.399635076522827
2011,1,1,4,30,0,0,0,-12.341589355468727,-4.007147216796852,960.47900390625,52.33979034423828,127.14276186823903,3.4819722175598145
2011,1,1,5,0,0,0,0,-12.418737792968727,-4.042913818359352,960.5698852539062,52.15547561645508,120.93179787359705,3.5643093585968018
2011,1,1,5,30,0,0,0,-12.522192382812477,-4.074377441406227,960.913330078125,51.844669342041016,114.77927195407653,3.6416573524475098
2011,1,1,6,0,0,0,0,-12.626501464843727,-4.105871582031227,961.2567138671875,51.53192901611328,108.70793122867565,3.719005584716797
2011,1,1,6,30,0,0,0,-12.746466064453102,-4.073248291015602,961.5762329101562,50.91057586669922,102.74196353203516,3.758701801300049
2011,1,1,7,0,0,0,0,-12.867529296874977,-4.040655517578102,961.895751953125,50.29178237915039,96.90860702954542,3.79839825630188
2011,1,1,7,30,0,0,0,-12.977606201171852,-3.0968688964843523,962.250732421875,46.4530143737793,91.23966178229831,3.666620969772339
2011,1,1,8,0,26,396,55,-13.088659667968727,-2.1530822753906023,962.6056518554688,42.92704772949219,85.77125684679623,3.534843683242798
2011,1,1,8,30,44,623,146,-13.186743164062477,-0.35108032226560226,963.1085205078125,37.31947326660156,80.55361095610273,3.280517101287842
2011,1,1,9,0,55,751,242,-13.286199951171852,1.4509521484375227,963.6113891601562,32.50373077392578,75.6387192699765,3.026190757751465
2011,1,1,9,30,64,831,333,-14.237524414062477,3.3486572265625227,963.786865234375,26.28220558166504,71.09328775251421,2.9319419860839844
2011,1,1,10,0,70,885,416,-15.259374999999977,5.246362304687523,963.96240234375,21.158100128173828,66.99555559843768,2.837692975997925
2011,1,1,10,30,75,922,487,-15.524877929687477,6.320581054687523,963.8211059570312,19.216217041015625,63.43480819811035,2.5641565322875977
2011,1,1,11,0,78,948,545,-15.795751953124977,7.394799804687523,963.6798095703125,17.455039978027344,60.507927168573374,2.2906200885772705
2011,1,1,11,30,80,964,587,-15.825201416015602,8.150811767578148,963.218994140625,16.53871726989746,58.3119989916532,2.0334150791168213
2011,1,1,12,0,82,974,614,-15.854956054687477,8.906823730468773,962.7581787109375,15.674959182739258,56.9327842637328,1.7762101888656616
2011,1,1,12,30,82,977,623,-15.861730957031227,9.310571289062523,962.4075927734375,15.245755195617676,56.430873619748255,1.5993552207946777
2011,1,1,13,0,82,974,615,-15.868566894531227,9.714318847656273,962.0570678710938,14.829487800598145,56.82975800402829,1.4225001335144043
2011,1,1,13,30,81,965,591,-15.784613037109352,9.718804931640648,961.6846923828125,14.928672790527344,58.11071263580726,1.362795114517212
