SiteID,Date-Time,ac_current,ac_power,ac_voltage,ambient_temp,das_battery_voltage,das_temperature,dc_neg_current,dc_neg_voltage,dc_pos_current,dc_pos_voltage,dc_power,dc_power_1,dc_power_2,inveter_temp,module_temp_1,module_temp_2,module_temp_3,poa_irradiance
51,2000-01-03 10:30:00,8.106,507.69,121.38,-4.446,0,0,-1.127,-223.71,1.7202,274.06,723.55,471.44,252.12,9.3616,2.6866,0.09201,0.09201,1259.6
51,2000-01-03 10:45:00,8.0147,482.51,121.31,-4.3002,0,0,-1.0808,-224.23,1.7149,276.97,716.99,474.98,242.35,11.257,7.4172,0.08777,0.08771,1144.3
51,2000-01-03 11:00:00,8.327,550.58,121.42,-4.2547,0,0,-1.0904,-213.01,1.9209,286.95,783.51,551.2,232.27,14.418,14.497,0.07999,0.08005,994.84
51,2000-01-03 11:15:00,9.4043,738.9,121.45,-4.2653,0,0,-1.4578,-216.57,2.2948,287.82,977.66,660.49,315.72,16.801,17.691,0.36147,0.07211,1191.5
51,2000-01-03 11:30:00,10.877,979.1,121.48,-4.1806,0,0,-1.992,-220.5,2.7992,280.89,1226.3,786.27,439.24,18.463,24.491,7.906,4.0719,1279.9
51,2000-01-03 11:45:00,14.59,1570.3,121.55,-4.116,0,0,-3.4258,-211.95,4.2161,258.62,1815.1,1090.37,726.1,19.707,29.468,26.776,16.901,1272.1
51,2000-01-03 12:00:00,17.722,2019,121.62,-3.4957,0,0,-4.4769,-212.67,5.2568,253.09,2280.7,1330.44,952.1,21.052,31.616,21.441,17.262,1136.9
51,2000-01-03 12:15:00,25.927,3143.5,122.17,-3.1744,0,0,-7.2004,-212.4,7.9921,244.78,3478.4,1956.31,1529.36,22.201,30.668,30.12,25.745,1266.5
51,2000-01-03 12:30:00,35.084,4266.4,122.63,-2.6689,0,0,-10.137,-218,10.754,232.22,4714.7,2497.29,2209.87,24.214,28.548,35.539,27.519,1118.3
51,2000-01-03 12:45:00,27.24,3224,122.3,-2.452,0,0,-7.4237,-224.73,8.1294,237.36,3591.1,1929.59,1668.33,26.502,18.637,27.614,14.287,625.2
51,2000-01-03 13:00:00,14.607,1501.9,121.75,-2.9134,0,0,-3.4586,-233.27,3.9778,235.06,1754.7,935.02,806.79,26.757,4.8125,11.618,5.4645,258.79
51,2000-01-03 13:15:00,12.645,1245.6,121.45,-3.1117,0,0,-2.8966,-234.7,3.3334,234.93,1467.2,783.12,679.83,26.068,0.73903,2.8253,1.5446,212.77
51,2000-01-03 13:30:00,10.838,957.73,121.35,-3.5841,0,0,-2.3669,-229.35,2.7074,228.56,1160.2,618.8,542.85,25.818,0.42853,1.9167,1.0381,169.22
51,2000-01-03 13:45:00,8.8595,632.08,121.25,-3.834,0,0,-1.6901,-227.78,1.9228,227.06,821.49,436.59,384.97,24.672,-1.0621,-0.00106,-0.41778,117.96
51,2000-01-03 14:00:00,8.8016,602.12,121.17,-3.6698,0,0,-1.6192,-229.58,1.8419,228.91,793.11,421.63,371.74,24.251,-1.0965,-0.05049,-0.68747,115.29
51,2000-01-03 14:15:00,8.517,545.07,121.18,-3.6947,0,0,-1.5332,-222.03,1.7135,221.27,719.04,379.15,340.42,24.083,-1.3493,0.00738,-0.93253,104.78
51,2000-01-03 14:30:00,7.7834,430.76,121.13,-3.9847,0,0,-1.2793,-225.94,1.4413,225.28,612.6,324.7,289.05,23.813,-2.2236,-1.0863,-1.5559,90.097
51,2000-01-03 14:45:00,9.7815,778.26,121.22,-3.7954,0,0,-1.9903,-229.25,2.2528,228.44,973.45,514.63,456.28,23.613,-1.2614,-0.7756,-0.95048,142.43
51,2000-01-03 15:00:00,12.438,1200.1,121.4,-3.2288,0,0,-2.8671,-230.87,3.2359,230.82,1416.6,746.91,661.93,23.604,1.6963,2.6206,1.7396,212.75
51,2000-01-03 15:15:00,16.106,1759.4,121.57,-2.956,0,0,-4.0171,-233.99,4.5064,236.6,2013.9,1066.21,939.96,24.016,5.612,6.5105,5.1467,306.46
