Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,313903,-,-,-,33.41,-111.9,-7,366,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Direction,Wind Speed
2010,11,2,14,0,87,902,607,-5.261816406249977,32.54744873046877,957.0516357421875,8.44517993927002,54.854629694343885,77.83748626708984,1.594360589981079
2010,11,2,14,30,83,877,540,-5.484045410156227,32.1942077636719,956.5197143554688,8.471360206604004,58.57990065272591,77.83748626708984,1.4301197528839111
2010,11,2,15,0,78,841,461,-5.710058593749977,31.840966796875023,955.98779296875,8.495365142822266,62.894996797936756,72.82902526855469,1.2658787965774536
2010,11,2,15,30,71,789,371,-3.8783325195312273,30.819879150390648,955.84326171875,10.338349342346191,67.68381426112495,72.82902526855469,0.989318311214447
2010,11,2,16,0,62,713,273,-2.2391113281249773,29.798760986328148,955.69873046875,12.382986068725586,72.84891873769227,73.7764663696289,0.7127578258514404
2010,11,2,16,30,50,597,171,2.1562133789062727,27.820703125000023,955.788818359375,19.10325813293457,78.31101263848802,73.7764663696289,0.4337155520915985
2010,11,2,17,0,33,403,75,5.620446777343773,25.842645263671898,955.87890625,27.373748779296875,84.00621399212338,59.81993865966797,0.1546732634305954
2010,11,2,17,30,0,0,0,2.5293823242187727,24.897027587890648,956.0430297851562,23.31211280822754,89.88131409874785,59.81993865966797,0.3801442086696625
2010,11,2,18,0,0,0,0,-1.3200134277343523,23.951379394531273,956.2071533203125,18.68668556213379,95.9040377078325,18.211997985839844,0.6056151390075684
2010,11,2,18,30,0,0,0,-1.3479064941406023,23.420037841796898,956.368408203125,19.254730224609375,102.02809466169865,18.211997985839844,1.0250266790390015
2010,11,2,19,0,0,0,0,-1.3763183593749773,22.888696289062523,956.5297241210938,19.841859817504883,108.22701604802359,24.839271545410156,1.4444382190704346
2010,11,2,19,30,0,0,0,-1.6209167480468523,22.376245117187523,956.6807250976562,20.104358673095703,114.47223105522788,24.839271545410156,1.850769281387329
2010,11,2,20,0,0,0,0,-1.8702453613281023,21.863763427734398,956.8317260742188,20.36496925354004,120.73475905457664,30.661911010742188,2.2571003437042236
2010,11,2,20,30,0,0,0,-1.5134948730468523,21.260949707031273,957.0064697265625,21.69175148010254,126.98203341757889,30.661911010742188,2.592043399810791
2010,11,2,21,0,0,0,0,-1.1644958496093523,20.658135986328148,957.1812133789062,23.09395980834961,133.17315236745304,38.94231033325195,2.9269864559173584
2010,11,2,21,30,0,0,0,-0.7674011230468523,19.993676757812523,957.2975463867188,24.770023345947266,139.25085108247293,38.94231033325195,3.1973042488098145
2010,11,2,22,0,0,0,0,-0.37988891601560226,19.329248046875023,957.4138793945312,26.552141189575195,145.1267112608698,47.51997756958008,3.4676220417022705
2010,11,2,22,30,0,0,0,0.028741455078147737,18.733880615234398,957.426513671875,28.386619567871094,150.65251744742346,47.51997756958008,3.6445717811584473
2010,11,2,23,0,0,0,0,0.42720947265627274,18.138543701171898,957.4391479492188,30.327665328979492,155.5654381433483,54.289772033691406,3.821521759033203
2010,11,2,23,30,0,0,0,0.6782470703125227,17.675347900390648,957.569580078125,31.795412063598633,159.40164630610366,54.289772033691406,3.91379976272583
2010,11,3,0,0,0,0,0,0.9254699707031477,17.212182617187523,957.699951171875,33.327178955078125,161.46554346628452,60.10013961791992,4.006077766418457
2010,11,3,0,30,0,0,0,1.0580383300781477,16.791711425781273,957.810302734375,34.55470275878906,161.15907510075687,60.10013961791992,4.039372444152832
2010,11,3,1,0,0,0,0,1.1894775390625227,16.371270751953148,957.9205932617188,35.827205657958984,158.5848589043689,65.66975402832031,4.072667598724365
2010,11,3,1,30,0,0,0,1.3027282714843977,16.088433837890648,957.8472290039062,36.776527404785156,154.42495519804612,65.66975402832031,4.073599815368652
2010,11,3,2,0,0,0,0,1.4151245117187727,15.805566406250023,957.7738647460938,37.75004196166992,149.32777450653478,70.10501098632812,4.074532508850098
2010,11,3,2,30,0,0,0,1.4914489746093977,15.628900146484398,957.817138671875,38.38853073120117,143.69876521515744,70.10501098632812,4.052173137664795
2010,11,3,3,0,0,0,0,1.5674377441406477,15.452203369140648,957.8603515625,39.03734588623047,137.7652529702946,72.70053100585938,4.029813766479492
2010,11,3,3,30,0,0,0,1.5820861816406477,15.355615234375023,957.8973999023438,39.321170806884766,131.656792092152,72.70053100585938,4.016449451446533
2010,11,3,4,0,0,0,0,1.5967346191406477,15.258996582031273,957.9344482421875,39.60725021362305,125.4521570887465,73.9834976196289,4.003085136413574
2010,11,3,4,30,0,0,0,1.5776306152343977,15.212365722656273,958.1741943359375,39.67170333862305,119.20359609950845,73.9834976196289,4.011804580688477
2010,11,3,5,0,0,0,0,1.5584655761718977,15.165734863281273,958.4138793945312,39.73619079589844,112.94946146912669,74.76747131347656,4.020523548126221
2010,11,3,5,30,0,0,0,1.5039916992187727,15.135125732421898,958.727294921875,39.65939712524414,106.72119276350838,74.76747131347656,4.038881778717041
2010,11,3,6,0,0,0,0,1.4492736816406477,15.104516601562523,959.0407104492188,39.5820426940918,100.54756189810371,75.52033233642578,4.057240009307861
2010,11,3,6,30,0,0,0,1.3525024414062727,15.506799316406273,959.396240234375,38.30647277832031,94.45761771845852,75.52033233642578,4.064182758331299
2010,11,3,7,0,13,142,17,1.2549987792968977,15.909082031250023,959.7518310546875,37.07284164428711,88.48013142073303,76.44932556152344,4.071125507354736
2010,11,3,7,30,37,454,95,1.1482788085937727,17.500146484375023,959.954345703125,33.2548828125,82.65957221499107,76.44932556152344,3.912191390991211
2010,11,3,8,0,53,625,193,1.0387512207031477,19.091241455078148,960.1567993164062,29.86041831970215,77.03377786487641,77.2884521484375,3.7532572746276855
2010,11,3,8,30,64,730,294,0.8025756835937727,21.260705566406273,960.370849609375,25.672033309936523,71.65815484885003,77.2884521484375,3.4444122314453125
2010,11,3,9,0,72,798,389,0.5585571289062727,23.430169677734398,960.5848388671875,22.10611343383789,66.60029690499198,82.63043212890625,3.1355669498443604
2010,11,3,9,30,79,846,477,-0.44534912109372726,25.814141845703148,960.2783203125,17.823955535888672,61.94386151120024,82.63043212890625,3.0729565620422363
2010,11,3,10,0,83,880,553,-1.5170959472656023,28.198114013671898,959.9718627929688,14.327113151550293,57.79076718198671,101.03069305419922,3.0103461742401123
2010,11,3,10,30,87,905,616,-2.6768554687499773,29.749810791015648,959.7626953125,12.022076606750488,54.26065201888846,101.03069305419922,3.002195358276367
2010,11,3,11,0,90,922,664,-3.9267333984374773,31.301507568359398,959.5535888671875,10.02190113067627,51.48493256868725,116.37152099609375,2.994044303894043
2010,11,3,11,30,91,932,696,-4.307501220703102,32.1512390136719,959.1419677734375,9.281185150146484,49.59273351293495,116.37152099609375,2.833228349685669
2010,11,3,12,0,92,937,711,-4.697546386718727,33.0009704589844,958.7303466796875,8.590935707092285,48.68865073088002,124.72610473632812,2.672412395477295
2010,11,3,12,30,92,937,709,-4.730200195312477,33.38851318359377,958.1798095703125,8.385387420654297,48.82827936565741,124.72610473632812,2.4668142795562744
2010,11,3,13,0,91,932,690,-4.763189697265602,33.77608642578127,957.6292114257812,8.185025215148926,50.00279130276932,130.64431762695312,2.261216163635254
2010,11,3,13,30,89,921,654,-4.794470214843727,33.7122741699219,957.2027587890625,8.194904327392578,52.141499939332476,130.64431762695312,2.0657296180725098
2010,11,3,14,0,86,903,603,-4.825842285156227,33.64846191406252,956.7763671875,8.204771995544434,55.13084425056566,133.03256225585938,1.8702433109283447
2010,11,3,14,30,82,878,537,-4.862188720703102,33.13787231445315,956.655517578125,8.419852256774902,58.8392306300132,133.03256225585938,1.7008637189865112
2010,11,3,15,0,77,842,458,-4.899298095703102,32.62728271484377,956.5346069335938,8.641006469726562,63.13739542625109,132.35476684570312,1.5314841270446777
2010,11,3,15,30,70,791,368,-4.170263671874977,31.557763671875023,956.4334716796875,9.6981782913208,67.91013503132983,132.35476684570312,1.342117428779602
2010,11,3,16,0,62,715,270,-3.4734558105468523,30.488244628906273,956.3323364257812,10.86007308959961,73.06052137067677,131.56797790527344,1.1527507305145264
2010,11,3,16,30,50,598,169,0.9225708007812727,28.447259521484398,956.4306030273438,16.861286163330078,78.50949658295431,131.56797790527344,0.9288762807846069
2010,11,3,17,0,32,401,73,4.379663085937523,26.406304931640648,956.5288696289062,24.28525161743164,84.19325562486739,122.45632934570312,0.7050018906593323
2010,11,3,17,30,0,0,0,2.9039245605468977,25.515771484375023,956.857421875,23.07390594482422,90.05845249249582,122.45632934570312,0.7295910716056824
2010,11,3,18,0,0,0,0,1.2713562011718977,24.625238037109398,957.1859741210938,21.658220291137695,96.07339288301097,90.42982482910156,0.7541802525520325
2010,11,3,18,30,0,0,0,1.7561889648437727,24.153161621093773,957.22900390625,23.06662368774414,102.19117330580684,90.42982482910156,1.0002678632736206
2010,11,3,19,0,0,0,0,2.2271972656250227,23.681085205078148,957.2720336914062,24.5414981842041,108.38561352813112,78.06661987304688,1.2463555335998535
2010,11,3,19,30,0,0,0,-0.12500610351560226,23.297937011718773,957.5136108398438,21.207420349121094,114.62828640719295,78.06661987304688,1.5359265804290771
2010,11,3,20,0,0,0,0,-2.8994506835937273,22.914758300781273,957.7551879882812,17.703998565673828,120.89046544287258,79.88690185546875,1.8254976272583008
2010,11,3,20,30,0,0,0,-2.5763000488281023,22.566308593750023,957.9969482421875,18.52075958251953,127.13999716779068,79.88690185546875,2.0960378646850586
2010,11,3,21,0,0,0,0,-2.2594970703124773,22.217858886718773,958.2387084960938,19.365955352783203,133.33662378043482,84.56617736816406,2.3665783405303955
2010,11,3,21,30,0,0,0,-2.1443237304687273,21.859490966796898,958.2920532226562,19.962724685668945,139.42405621810113,84.56617736816406,2.597806930541992
2010,11,3,22,0,0,0,0,-2.0300659179687273,21.501153564453148,958.3453979492188,20.577564239501953,145.3152921169546,90.82894897460938,2.8290352821350098
2010,11,3,22,30,0,0,0,-2.2139953613281023,21.098596191406273,958.413330078125,20.80733299255371,150.86392806761,90.82894897460938,3.024278163909912
2010,11,3,23,0,0,0,0,-2.4005798339843523,20.696038818359398,958.481201171875,21.03667640686035,155.8084366964427,96.63189697265625,3.2195208072662354
2010,11,3,23,30,0,0,0,-2.3812622070312273,20.203424072265648,958.58984375,21.716876983642578,159.68187877852523,96.63189697265625,3.4287967681884766
2010,11,4,0,0,0,0,0,-2.3622192382812273,19.710809326171898,958.6984252929688,22.421180725097656,161.77319053655566,100.49764251708984,3.638072967529297
2010,11,4,0,30,0,0,0,-2.2671264648437273,19.137933349609398,958.7117919921875,23.398210525512695,161.46256547653797,100.49764251708984,3.8539538383483887
2010,11,4,1,0,0,0,0,-2.1727966308593523,18.565026855468773,958.7251586914062,24.420120239257812,158.8567145362034,101.68931579589844,4.0698347091674805
2010,11,4,1,30,0,0,0,-1.9182800292968523,18.145318603515648,958.684814453125,25.546249389648438,154.66043633048514,101.68931579589844,4.269881248474121
2010,11,4,2,0,0,0,0,-1.6678527832031023,17.725579833984398,958.64453125,26.717552185058594,149.53399739230025,101.57571411132812,4.4699273109436035
2010,11,4,2,30,0,0,0,-1.4110778808593523,17.451806640625023,958.4768676757812,27.70032501220703,143.88426663705573,101.57571411132812,4.610459327697754
2010,11,4,3,0,0,0,0,-1.1585144042968523,17.178033447265648,958.3092041015625,28.710329055786133,137.93697695025617,102.23126220703125,4.7509918212890625
2010,11,4,3,30,0,0,0,-1.0199645996093523,16.999505615234398,958.3717041015625,29.332515716552734,131.81995585715418,102.23126220703125,4.828409194946289
2010,11,4,4,0,0,0,0,-0.8826049804687273,16.820977783203148,958.4341430664062,29.965709686279297,125.61068625816509,102.39999389648438,4.905827045440674
2010,11,4,4,30,0,0,0,-0.8137268066406023,16.733972167968773,958.7406005859375,30.283519744873047,119.36053710349847,102.39999389648438,4.922876358032227
2010,11,4,5,0,0,0,0,-0.7451232910156023,16.646966552734398,959.0470581054688,30.604150772094727,113.10728316278889,100.61043548583984,4.939925193786621
2010,11,4,5,30,0,0,0,-0.6771301269531023,16.600244140625023,959.4027099609375,30.847766876220703,106.8819950013426,100.61043548583984,4.91895866394043
2010,11,4,6,0,0,0,0,-0.6093505859374773,16.553491210937523,959.7583618164062,31.092782974243164,100.71321921794667,97.03327178955078,4.89799165725708
2010,11,4,6,30,0,0,0,-0.5210327148437273,16.880670166015648,960.086181640625,30.65025520324707,94.62987879634376,97.03327178955078,4.877261161804199
2010,11,4,7,0,12,133,15,-0.43326416015622726,17.207849121093773,960.4140625,30.214162826538086,88.66056162268214,93.28226470947266,4.856530666351318
2010,11,4,7,30,37,452,93,-0.35159912109372726,18.614434814453148,960.646240234375,27.82042694091797,82.85007015523577,93.28226470947266,4.647228240966797
2010,11,4,8,0,52,625,191,-0.27252807617185226,20.021020507812523,960.8783569335938,25.63560676574707,77.23591477679263,90.49424743652344,4.437925815582275
2010,11,4,8,30,63,730,291,-0.30893554687497726,21.926202392578148,960.9185791015625,22.7429141998291,71.87354036265647,90.49424743652344,4.350640773773193
2010,11,4,9,0,72,798,386,-0.34961547851560226,23.831353759765648,960.9588623046875,20.20407485961914,66.83041522509438,94.56192016601562,4.263355731964111
2010,11,4,9,30,78,846,473,-0.45123901367185226,25.350885009765648,960.643310546875,18.31308364868164,62.18988610976988,94.56192016601562,4.41690731048584
2010,11,4,10,0,83,879,548,-0.5563415527343523,26.870385742187523,960.3276977539062,16.61175537109375,58.05326784196718,103.87271118164062,4.570459365844727
2010,11,4,10,30,86,903,610,-0.5460266113281023,27.893060302734398,959.8681640625,15.657629013061523,54.539183067064236,103.87271118164062,4.406525611877441
2010,11,4,11,0,89,919,658,-0.5375732421874773,28.915734863281273,959.4086303710938,14.76292896270752,51.77757311712454,108.14839935302734,4.2425923347473145
