Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,431499,-,-,-,35.05,-106.62,-7,1558,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2011,1,1,0,0,0,0,0,-8.990759277343727,43.842140197753906,167.78392334235045,3.0655767917633057
2011,1,1,0,30,0,0,0,-9.466558837890602,45.67768096923828,167.19376644230528,2.94637393951416
2011,1,1,1,0,0,0,0,-9.942358398437477,47.59672164916992,163.75211301927663,2.8271713256835938
2011,1,1,1,30,0,0,0,-10.436773681640602,49.88331604003906,158.81498701575524,2.8164725303649902
2011,1,1,2,0,0,0,0,-10.931188964843727,52.28559875488281,153.21093816146862,2.8057734966278076
2011,1,1,2,30,0,0,0,-11.357061767578102,54.20792007446289,147.2988341862671,2.8074958324432373
2011,1,1,3,0,0,0,0,-11.782934570312477,56.20769119262695,141.24012051903378,2.809218168258667
2011,1,1,3,30,0,0,0,-12.162298583984352,57.94751739501953,135.11763212016436,2.765528678894043
2011,1,1,4,0,0,0,0,-12.541662597656227,59.74716567993164,128.9806969596731,2.72183895111084
2011,1,1,4,30,0,0,0,-12.807623291015602,60.9424934387207,122.86353290792619,2.6493730545043945
2011,1,1,5,0,0,0,0,-13.073614501953102,62.164730072021484,116.79364361986296,2.5769073963165283
2011,1,1,5,30,0,0,0,-13.259466552734352,63.02902603149414,110.79617734918119,2.4893240928649902
2011,1,1,6,0,0,0,0,-13.445349121093727,63.90684127807617,104.89656097934122,2.401740550994873
2011,1,1,6,30,0,0,0,-13.304907226562477,63.218902587890625,99.12239416254411,2.3000667095184326
2011,1,1,7,0,0,0,0,-13.164465332031227,62.53923797607422,93.50506112075021,2.198392868041992
2011,1,1,7,30,16,262,25,-11.926824951171852,56.76416778564453,88.07875023719986,2.1612091064453125
2011,1,1,8,0,36,580,108,-10.689215087890602,51.576744079589844,82.89363661283006,2.124025583267212
2011,1,1,8,30,49,741,203,-9.150915527343727,45.122032165527344,77.99674036889914,2.426791191101074
2011,1,1,9,0,57,836,296,-7.612646484374977,39.53109359741211,73.45087677763738,2.7295567989349365
2011,1,1,9,30,64,897,381,-6.403173828124977,35.618682861328125,69.3287995557868,2.910245180130005
2011,1,1,10,0,69,939,455,-5.193731689453102,32.11958694458008,65.71329252902274,3.0909335613250732
2011,1,1,10,30,72,966,516,-4.202764892578102,29.569015502929688,62.69448687053332,3.2333664894104004
