Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,431499,-,-,-,35.05,-106.62,-7,1558,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2015,1,1,0,0,0,0,0,-7.166723632812477,68.508056640625,167.78095339884683,3.42288875579834
2015,1,1,0,30,0,0,0,-7.272894287109352,68.51848602294922,167.19141433455803,3.5779149532318115
2015,1,1,1,0,0,0,0,-7.379095458984352,68.5254898071289,163.75057165221108,3.732941150665283
2015,1,1,1,30,0,0,0,-7.383917236328102,68.54753112792969,158.8139914543982,3.862643241882324
2015,1,1,2,0,0,0,0,-7.388739013671852,68.56959533691406,153.21025434114674,3.9923453330993652
2015,1,1,2,30,0,0,0,-7.250830078124977,68.71672821044922,147.29832053312143,4.110292434692383
2015,1,1,3,0,0,0,0,-7.112951660156227,68.85342407226562,141.23969199701804,4.228240013122559
2015,1,1,3,30,0,0,0,-6.982092285156227,70.10358428955078,135.11723426432147,4.204403877258301
2015,1,1,4,0,0,0,0,-6.851232910156227,71.322021484375,128.9802920562763,4.180567741394043
2015,1,1,4,30,0,0,0,-6.747778320312477,73.32955932617188,122.86309269063648,4.108694076538086
2015,1,1,5,0,0,0,0,-6.644293212890602,75.30221557617188,116.7931452222511,4.036819934844971
2015,1,1,5,30,0,0,0,-6.585119628906227,77.44580841064453,110.7956009283773,3.873910427093506
2015,1,1,6,0,0,0,0,-6.525915527343727,79.56996154785156,104.89588824377097,3.711000680923462
2015,1,1,6,30,0,0,0,-6.333593749999977,80.38055419921875,99.12160742709656,3.5272440910339355
2015,1,1,7,0,0,0,0,-6.141271972656227,81.15323638916016,93.50414271023578,3.343487501144409
2015,1,1,7,30,3,0,3,-5.275152587890602,77.1606216430664,88.07776049691046,3.021073818206787
2015,1,1,8,0,15,0,15,-4.409002685546852,73.38379669189453,82.892431438779,2.698659896850586
2015,1,1,8,30,29,0,29,-3.2342285156249773,68.33885955810547,77.9953360341247,2.5200750827789307
2015,1,1,9,0,55,0,55,-2.0594543457031023,63.68006896972656,73.44926312999695,2.3414902687072754
2015,1,1,9,30,97,0,97,-0.8132080078124773,58.26026916503906,69.32696465593196,2.3436813354492188
2015,1,1,10,0,122,0,122,0.43303833007814774,53.35234451293945,65.71122699521214,2.345872402191162
2015,1,1,10,30,113,0,113,1.0913330078125227,50.94462585449219,62.69218815766395,2.3251490592956543
2015,1,1,11,0,202,32,218,1.7496276855468977,48.658077239990234,60.3613601711214,2.3044259548187256
2015,1,1,11,30,177,11,183,1.8877807617187727,47.77238082885742,58.80204172293577,2.1977953910827637
2015,1,1,12,0,163,6,167,2.0259643554687727,46.90011215209961,58.077309522382265,2.091165065765381
2015,1,1,12,30,217,33,234,2.0194641113281477,46.0307502746582,58.2187456536234,1.9593076705932617
2015,1,1,13,0,209,33,227,2.0129638671875227,45.160736083984375,59.22007214902715,1.8274502754211426
2015,1,1,13,30,226,102,275,1.7533813476562727,44.923583984375,61.038454649187344,1.7686845064163208
2015,1,1,14,0,59,961,486,1.4937988281250227,44.66345977783203,63.60288966478113,1.709918737411499
2015,1,1,14,30,56,931,422,0.8828674316406477,45.21339797973633,66.82616272176475,1.657165765762329
2015,1,1,15,0,51,887,346,0.27193603515627274,45.73255920410156,70.61632550822353,1.6044127941131592
2015,1,1,15,30,46,821,260,-0.7774108886718523,48.457176208496094,74.88514490415152,1.5852047204971313
2015,1,1,16,0,38,718,168,-1.8267578124999773,51.360694885253906,79.55293474896553,1.5659966468811035
2015,1,1,16,30,26,537,77,-2.4972900390624773,53.0017204284668,84.55033336487168,1.6816561222076416
2015,1,1,17,0,0,0,0,-3.1678222656249773,54.691612243652344,89.8169794945124,1.7973154783248901
2015,1,1,17,30,0,0,0,-3.3145812988281023,55.6238899230957,95.31217131310065,1.8968228101730347
2015,1,1,18,0,0,0,0,-3.4613403320312273,56.57106018066406,100.98436486434922,1.9963301420211792
2015,1,1,18,30,0,0,0,-3.6279968261718523,57.718040466308594,106.80257419457433,2.0041065216064453
2015,1,1,19,0,0,0,0,-3.7946838378906023,58.886234283447266,112.73677242829518,2.011882781982422
2015,1,1,19,30,0,0,0,-3.9144958496093523,59.47840881347656,118.76018774173288,2.0043253898620605
2015,1,1,20,0,0,0,0,-4.034277343749977,60.07691192626953,124.84762117172338,1.9967681169509888
2015,1,1,20,30,0,0,0,-4.335455322265602,60.82093811035156,130.97335978930656,2.015760660171509
2015,1,1,21,0,0,0,0,-4.636633300781227,61.57134246826172,137.10809544740147,2.0347530841827393
2015,1,1,21,30,0,0,0,-4.960302734374977,62.438011169433594,143.2135467399868,2.1187920570373535
2015,1,1,22,0,0,0,0,-5.283972167968727,63.314292907714844,149.23163592852595,2.202831268310547
2015,1,1,22,30,0,0,0,-5.548101806640602,63.969276428222656,155.0598800892986,2.3261561393737793
