Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1241339,-,-,-,41.05,-73.7,-5,119,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2015,1,1,0,0,0,0,0,-4.259680175781227,64.65269470214844,161.9719911050889,1.408530831336975
2015,1,1,0,30,0,0,0,-4.210882568359352,64.59341430664062,160.77160898547166,1.4434161186218262
2015,1,1,1,0,0,0,0,-4.162084960937477,64.53384399414062,157.7844235918482,1.4783015251159668
2015,1,1,1,30,0,0,0,-4.146826171874977,64.35594940185547,153.6221720169592,1.4940993785858154
2015,1,1,2,0,0,0,0,-4.131567382812477,64.17839813232422,148.76763208247064,1.509897232055664
2015,1,1,2,30,0,0,0,-4.184362792968727,63.3582649230957,143.51651455737792,1.512645959854126
2015,1,1,3,0,0,0,0,-4.237158203124977,62.530731201171875,138.04125161238608,1.5153948068618774
2015,1,1,3,30,0,0,0,-4.352758789062477,61.02528381347656,132.44623846562996,1.4994288682937622
2015,1,1,4,0,0,0,0,-4.468359374999977,59.48935317993164,126.79960817054388,1.483462929725647
2015,1,1,4,30,0,0,0,-4.623815917968727,58.92507553100586,121.1502050624168,1.428826093673706
2015,1,1,5,0,0,0,0,-4.779302978515602,58.340091705322266,115.53682901410157,1.3741891384124756
2015,1,1,5,30,0,0,0,-4.958776855468727,59.040523529052734,109.9935754399014,1.2906346321105957
2015,1,1,6,0,0,0,0,-5.138250732421852,59.750492095947266,104.55319087636221,1.2070802450180054
2015,1,1,6,30,0,0,0,-5.225836181640602,60.9272346496582,99.24940795353734,1.1712652444839478
2015,1,1,7,0,0,0,0,-5.313421630859352,62.1174201965332,94.11874687320193,1.1354502439498901
2015,1,1,7,30,0,0,0,-4.731726074218727,59.82984161376953,89.19797325340957,1.0932719707489014
2015,1,1,8,0,30,450,73,-4.150061035156227,57.6368408203125,84.54399608075099,1.051093578338623
2015,1,1,8,30,44,615,149,-3.3010620117187273,52.739418029785156,80.2013409132921,1.1568481922149658
2015,1,1,9,0,54,715,224,-2.4520935058593523,48.249202728271484,76.23130654110427,1.2626028060913086
2015,1,1,9,30,61,780,293,-1.7433837890624773,45.666107177734375,72.70049083698964,1.3778467178344727
2015,1,1,10,0,66,825,353,-1.0347045898437273,43.234619140625,69.68006714760321,1.4930905103683472
2015,1,1,10,30,70,856,401,-0.5171874999999773,42.581634521484375,67.24230074860482,1.5561976432800293
2015,1,1,11,0,72,877,437,0.00032958984377273737,41.92317581176758,65.45493995422146,1.6193046569824219
2015,1,1,11,30,74,890,459,0.40496215820314774,42.02214813232422,64.37400557119037,1.6436059474945068
2015,1,1,12,0,74,894,466,0.8095642089843977,42.08299255371094,64.03633979424467,1.6679071187973022
2015,1,1,12,30,126,561,368,1.1122985839843977,42.546634674072266,64.45394618987822,1.6791530847549438
2015,1,1,13,0,124,533,344,1.4150329589843977,42.97207260131836,65.61201399147345,1.6903990507125854
2015,1,1,13,30,117,503,310,1.4677978515625227,44.21541213989258,67.47134560080663,1.636490821838379
2015,1,1,14,0,66,827,349,1.5205627441406477,45.44805908203125,69.97430829187525,1.582582712173462
2015,1,1,14,30,60,780,288,1.2037292480468977,49.02472686767578,73.05234737470558,1.530630350112915
2015,1,1,15,0,53,710,217,0.8869262695312727,52.74531936645508,76.63307767319169,1.4786778688430786
2015,1,1,15,30,43,603,141,0.37548217773439774,55.915225982666016,80.64567766191409,1.562575101852417
2015,1,1,16,0,29,426,66,-0.13599243164060226,59.258697509765625,85.02414563365114,1.646472454071045
2015,1,1,16,30,0,0,0,-0.19052734374997726,60.26869583129883,89.70755231160744,1.7117478847503662
2015,1,1,17,0,0,0,0,-0.24509277343747726,61.286163330078125,94.65343212674516,1.777023434638977
2015,1,1,17,30,0,0,0,-0.20941772460935226,61.94630813598633,99.8040008720404,1.7986769676208496
2015,1,1,18,0,0,0,0,-0.17377319335935226,62.602718353271484,105.12349654150151,1.8203303813934326
2015,1,1,18,30,0,0,0,-0.17319335937497726,63.61400604248047,110.57571878482833,1.8126425743103027
2015,1,1,19,0,0,0,0,-0.17264404296872726,64.62503814697266,116.12706066243075,1.8049546480178833
2015,1,1,19,30,0,0,0,-0.20297851562497726,65.68692779541016,121.74465545185411,1.7892396450042725
2015,1,1,20,0,0,0,0,-0.23331298828122726,66.75316619873047,127.39394751444775,1.773524522781372
2015,1,1,20,30,0,0,0,-0.27200927734372726,67.52677917480469,133.03515944989834,1.7613797187805176
2015,1,1,21,0,0,0,0,-0.31070556640622726,68.30464172363281,138.61761400177957,1.7492350339889526
2015,1,1,21,30,0,0,0,-0.34918823242185226,68.7050552368164,144.06983767330803,1.7347227334976196
2015,1,1,22,0,0,0,0,-0.38767089843747726,69.10723876953125,149.28134254783006,1.7202104330062866
2015,1,1,22,30,0,0,0,-0.41440429687497726,69.41221618652344,154.06869506276325,1.6943020820617676
2015,1,1,23,0,0,0,0,-0.44113769531247726,69.71820831298828,158.11802890203035,1.668393611907959
2015,1,1,23,30,0,0,0,-0.47513427734372726,70.05191040039062,160.9263813768292,1.641134262084961
