Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1241339,-,-,-,41.05,-73.7,-5,119,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2009,1,1,0,0,0,0,0,-9.611791992187477,72.68330383300781,161.93651207404753,2.02974271774292
2009,1,1,0,30,0,0,0,-9.650854492187477,73.31653594970703,160.75358979882512,2.021186590194702
2009,1,1,1,0,0,0,0,-9.689886474609352,73.9532699584961,157.7813488818901,2.0126304626464844
2009,1,1,1,30,0,0,0,-9.813208007812477,73.8711929321289,153.6294872254323,2.0019383430480957
2009,1,1,2,0,0,0,0,-9.936560058593727,73.78038787841797,148.78156504844736,1.991245985031128
2009,1,1,2,30,0,0,0,-10.066168212890602,72.67832946777344,143.53449385397502,1.9862003326416016
2009,1,1,3,0,0,0,0,-10.195806884765602,71.54508972167969,138.061573706669,1.9811547994613647
2009,1,1,3,30,0,0,0,-10.303839111328102,71.47869873046875,132.4677377772679,1.9779404401779175
2009,1,1,4,0,0,0,0,-10.411901855468727,71.40589141845703,126.82144113517597,1.9747260808944702
2009,1,1,4,30,0,0,0,-10.496954345703102,71.26799011230469,121.17171946688192,1.9713802337646484
2009,1,1,5,0,0,0,0,-10.582037353515602,71.12449645996094,115.55748453609718,1.968034267425537
2009,1,1,5,30,0,0,0,-10.661413574218727,70.08332061767578,110.01289361047714,1.9598610401153564
