Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1241339,-,-,-,41.05,-73.7,-5,119,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2010,1,1,0,0,0,0,0,0.11263427734377274,100.0,161.95589365965776,0.36649420857429504
2010,1,1,0,30,0,0,0,0.40249023437502274,100.0,160.76401953956267,0.35989224910736084
2010,1,1,1,0,0,0,0,0.6923156738281477,100.0,157.78403643210373,0.35329025983810425
2010,1,1,1,30,0,0,0,0.8491149902343977,100.0,153.6267544412112,0.3490919768810272
2010,1,1,2,0,0,0,0,1.0059143066406477,99.61553192138672,148.7753638013112,0.3448936939239502
2010,1,1,2,30,0,0,0,0.9444824218750227,97.6052017211914,143.52616532754607,0.3469446301460266
2010,1,1,3,0,0,0,0,0.8830505371093977,95.57567596435547,138.05201091004824,0.348995566368103
2010,1,1,3,30,0,0,0,0.8015075683593977,93.4074478149414,132.45755371911213,0.3568480610847473
2010,1,1,4,0,0,0,0,0.7199645996093977,91.21212005615234,126.81108029748367,0.3647005259990692
2010,1,1,4,30,0,0,0,0.6217285156250227,89.73412322998047,121.16152571345441,0.38344427943229675
2010,1,1,5,0,0,0,0,0.5234619140625227,88.23167419433594,115.54774257541334,0.4021880328655243
2010,1,1,5,30,0,0,0,0.40310058593752274,88.02827453613281,110.0038551576378,0.4119793176651001
2010,1,1,6,0,0,0,0,0.28273925781252274,87.81524658203125,104.56262311979508,0.4217705726623535
2010,1,1,6,30,0,0,0,0.17696533203127274,87.9449234008789,99.25778137165152,0.43448176980018616
2010,1,1,7,0,0,0,0,0.07116088867189774,88.07218170166016,94.12584478437999,0.4471929669380188
2010,1,1,7,30,0,0,0,-0.03906860351560226,89.25816345214844,89.20399803009957,0.4192957282066345
2010,1,1,8,0,35,289,62,-0.14929809570310226,90.45787811279297,84.54801451333813,0.39139845967292786
2010,1,1,8,30,49,494,134,0.08022460937502274,91.24142456054688,80.20329609738738,0.38153621554374695
2010,1,1,9,0,28,0,28,0.30977783203127274,91.9759521484375,76.23097975206754,0.37167397141456604
2010,1,1,9,30,37,0,37,0.9414001464843977,90.81035614013672,72.69764193411659,0.429269403219223
2010,1,1,10,0,93,0,93,1.5730224609375227,89.58488464355469,69.67447057420057,0.48686483502388
2010,1,1,10,30,81,0,81,2.2414794921875227,88.82111358642578,67.23377515553355,0.5360726714134216
2010,1,1,11,0,53,0,53,2.9099670410156477,87.95188903808594,65.44337762323212,0.5852804780006409
2010,1,1,11,30,108,0,108,3.4099670410156477,87.27740478515625,64.35939843778488,0.608985185623169
2010,1,1,12,0,146,0,146,3.9099670410156477,86.5524673461914,64.01879340236414,0.632689893245697
2010,1,1,12,30,186,208,276,4.073388671875023,86.21514129638672,64.43367626732449,0.6419858932495117
2010,1,1,13,0,174,231,270,4.236810302734398,85.8751220703125,65.58932325126572,0.6512818336486816
2010,1,1,13,30,161,71,188,4.065057373046898,87.4542236328125,67.44658890573525,0.6613955497741699
2010,1,1,14,0,143,62,164,3.8933044433593977,89.06061553955078,69.94785408239153,0.671509325504303
2010,1,1,14,30,94,0,94,3.3353515625000227,90.26698303222656,73.02454793720287,0.7601306438446045
