Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1241339,-,-,-,41.05,-73.7,-5,119,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2011,1,1,0,0,0,0,0,-0.6605285644531023,88.02471923828125,161.9747887294482,1.1601015329360962
2011,1,1,0,30,0,0,0,-0.5644592285156023,88.2979965209961,160.7739565950493,1.1762135028839111
2011,1,1,1,0,0,0,0,-0.46842041015622726,88.56387329101562,157.78626617699,1.1923253536224365
2011,1,1,1,30,0,0,0,-0.41574707031247726,88.82473754882812,153.62360750047165,1.1947331428527832
2011,1,1,2,0,0,0,0,-0.36310424804685226,89.08258819580078,148.76878449982772,1.1971409320831299
2011,1,1,2,30,0,0,0,-0.40686645507810226,89.09793090820312,143.51748454118876,1.1822433471679688
2011,1,1,3,0,0,0,0,-0.45062866210935226,89.11258697509766,138.04211282857648,1.1673458814620972
2011,1,1,3,30,0,0,0,-0.5360168457031023,88.71369171142578,132.44704453193273,1.141078233718872
2011,1,1,4,0,0,0,0,-0.6214050292968523,88.30696105957031,126.8003992899404,1.1148104667663574
2011,1,1,4,30,0,0,0,-0.7185119628906023,87.76761627197266,121.15101272956079,1.0696933269500732
2011,1,1,5,0,0,0,0,-0.8156188964843523,87.216552734375,115.53767913430286,1.0245763063430786
2011,1,1,5,30,0,0,0,-0.7623657226562273,87.99911499023438,109.99449037460101,0.935255229473114
2011,1,1,6,0,0,0,0,-0.7091125488281023,88.77455139160156,104.55419078478312,0.8459341526031494
2011,1,1,6,30,0,0,0,-0.16992797851560226,91.1727066040039,99.25051165497305,0.7237569689750671
2011,1,1,7,0,0,0,0,0.36925659179689774,93.26815795898438,94.11997234869233,0.6015797853469849
2011,1,1,7,30,0,0,0,1.0901123046875227,92.13489532470703,89.19975902513953,0.6718746423721313
2011,1,1,8,0,34,278,60,1.8109680175781477,90.90335083007812,84.5456774465569,0.7421694397926331
2011,1,1,8,30,49,477,130,1.8052307128906477,89.74174499511719,80.2031256253088,0.8339972496032715
2011,1,1,9,0,92,143,126,1.7995239257812727,88.57791137695312,76.23324661160426,0.9258251190185547
2011,1,1,9,30,68,668,266,1.9573913574218977,87.6752700805664,72.70260928942712,0.9711089730262756
2011,1,1,10,0,73,718,323,2.1152587890625227,86.7829360961914,69.68237397864247,1.0163928270339966
2011,1,1,10,30,78,752,369,2.4063049316406477,85.08688354492188,67.24479606187471,1.0903016328811646
2011,1,1,11,0,80,774,402,2.6973205566406477,83.4278564453125,65.45761379225287,1.1642104387283325
2011,1,1,11,30,82,787,423,3.1329284667968977,82.81694793701172,64.37683818485854,1.180616855621338
2011,1,1,12,0,83,791,429,3.5685668945312727,82.17181396484375,64.03930259981742,1.1970232725143433
2011,1,1,12,30,82,788,422,4.149224853515648,83.50404357910156,64.45700496465226,1.1975117921829224
2011,1,1,13,0,177,195,257,4.729913330078148,84.60919952392578,65.61513231105128,1.1980003118515015
2011,1,1,13,30,152,286,261,4.485620117187523,85.90576171875,67.47448944928108,1.2230727672576904
2011,1,1,14,0,136,39,150,4.241296386718773,87.22496032714844,69.97744855118272,1.248145341873169
2011,1,1,14,30,95,0,95,3.9386230468750227,88.66400146484375,73.05546319905889,1.3175005912780762
2011,1,1,15,0,86,3,87,3.6359497070312727,90.12892150878906,76.63615668918334,1.3868557214736938
2011,1,1,15,30,56,0,56,3.4264160156250227,91.64703369140625,80.64872086628914,1.4476819038391113
2011,1,1,16,0,28,0,28,3.2168823242187727,93.19265747070312,85.02718212069792,1.5085079669952393
2011,1,1,16,30,0,0,0,3.2804199218750227,94.12776184082031,89.71076568397815,1.5212987661361694
2011,1,1,17,0,0,0,0,3.3439575195312727,95.05270385742188,94.65619674880513,1.5340895652770996
2011,1,1,17,30,0,0,0,3.4627624511718977,95.8238296508789,99.80670445261568,1.5238196849822998
