Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,466290,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2007,1,1,0,0,0,0,0,0,0,0,6,-19.791540527343727,-9.892431640624977,747.525146484375,44.278411865234375,163.27332227493582,3.897066831588745,262.9801025390625,4.1786394119262695,0
2007,1,1,0,30,0,0,0,0,0,0,6,-20.248175048828102,-9.835729980468727,747.439208984375,42.381099700927734,162.4137775221925,3.849561929702759,262.9801025390625,4.196902275085449,0
2007,1,1,1,0,0,0,0,0,0,0,6,-20.72136535644529,-9.779058837890602,747.3532104492188,40.5005989074707,159.52296166384542,3.8020572662353516,265.08685302734375,4.215164661407471,0
2007,1,1,1,30,0,0,0,0,0,0,6,-20.903112792968727,-9.756506347656227,747.2451782226562,39.796443939208984,155.3148750982705,3.710801601409912,265.08685302734375,4.222542762756348,0
2007,1,1,2,0,0,0,0,0,0,0,6,-21.08739318847654,-9.733984374999977,747.1371459960938,39.094974517822266,150.36087122708798,3.6195459365844727,267.45050048828125,4.229920387268066,0
2007,1,1,2,30,0,0,0,0,0,0,6,-20.981329345703102,-9.722998046874977,746.971435546875,39.422935485839844,144.9956914140759,3.538414716720581,267.45050048828125,4.252776145935059,0
2007,1,1,3,0,0,0,0,0,0,0,6,-20.876181030273415,-9.712042236328102,746.8056640625,39.750244140625,139.40484962482145,3.4572837352752686,270.2928771972656,4.275631904602051,0
2007,1,1,3,30,0,0,0,0,0,0,6,-20.725668334960915,-9.691839599609352,746.740966796875,40.20857620239258,133.69596760774607,3.4014251232147217,270.2928771972656,4.28654670715332,0
2007,1,1,4,0,0,0,0,0,0,0,7,-20.576910400390602,-9.671636962890602,746.6763305664062,40.665279388427734,127.93702789122183,3.345566511154175,273.37799072265625,4.297461032867432,0
2007,1,1,4,30,0,0,0,0,0,0,7,-20.432806396484352,-9.649999999999977,746.7757568359375,41.105384826660156,122.17564644840675,3.3264472484588623,273.37799072265625,4.2689127922058105,0
2007,1,1,5,0,0,0,0,0,0,0,6,-20.290228271484352,-9.628393554687477,746.875244140625,41.54412078857422,116.44909731363465,3.3073277473449707,277.2391357421875,4.2403645515441895,0
2007,1,1,5,30,0,0,0,0,0,0,6,-20.18034973144529,-9.573645019531227,747.04296875,41.759796142578125,110.78990227926698,3.317739486694336,277.2391357421875,4.19464635848999,0
2007,1,1,6,0,0,0,0,0,0,0,6,-20.071356201171852,-9.518927001953102,747.210693359375,41.973201751708984,105.2292567333533,3.328150987625122,281.61456298828125,4.148928165435791,0
2007,1,1,6,30,0,0,0,0,0,0,7,-19.753851318359352,-9.287573242187477,747.4532470703125,42.35954284667969,99.79938395451023,3.3488595485687256,281.61456298828125,4.078399658203125,0
2007,1,1,7,0,0,0,0,0,0,0,7,-19.443762207031227,-9.056188964843727,747.6958618164062,42.72039794921875,94.53535726420134,3.36956787109375,286.29156494140625,4.007870674133301,0
2007,1,1,7,30,0,0,0,0,0,0,7,-17.464544677734352,-7.755285644531227,748.0586547851562,45.6748161315918,89.47338810652933,3.3895678520202637,286.29156494140625,3.872661828994751,0
2007,1,1,8,0,24,0,24,26,534,76,7,-15.742224121093727,-6.454382324218727,748.4214477539062,47.718955993652344,84.6673007685677,3.4095678329467773,292.4065246582031,3.737452983856201,4
2007,1,1,8,30,51,0,51,37,708,158,7,-12.427801513671852,-4.701910400390602,748.733154296875,54.7651481628418,80.16233365576862,3.4187302589416504,292.4065246582031,3.4402265548706055,0
2007,1,1,9,0,8,0,8,45,809,240,4,-9.753820800781227,-2.9494689941406023,749.0447998046875,59.42885208129883,76.01949884334785,3.4278924465179443,300.67694091796875,3.143000364303589,0
2007,1,1,9,30,50,873,315,50,873,315,1,-7.401068115234352,-1.9076904296874773,749.1328125,66.09111022949219,72.30624649006778,3.4850924015045166,300.67694091796875,2.7609851360321045,0
2007,1,1,10,0,160,164,219,54,915,381,7,-5.376165771484352,-0.8659118652343523,749.2208251953125,71.48556518554688,69.09601228449863,3.5422921180725098,312.86663818359375,2.37896990776062,0
2007,1,1,10,30,173,60,198,57,942,433,7,-4.590765380859352,-0.48959960937497726,749.0587158203125,73.8045425415039,66.46502886803412,3.6498329639434814,312.86663818359375,2.1372289657592773,0
2007,1,1,11,0,108,0,108,59,960,473,4,-3.8449462890624773,-0.11328735351560226,748.8966064453125,75.9500503540039,64.48677712364488,3.757373571395874,331.08331298828125,1.8954880237579346,0
2007,1,1,11,30,192,44,212,60,969,497,7,-3.6243652343749773,-0.008184814453102263,748.6988525390625,76.6269760131836,63.22437191525992,3.8664743900299072,331.08331298828125,1.8068336248397827,0
2007,1,1,12,0,187,32,201,61,972,506,7,-3.4071105957031023,0.09688720703127274,748.5011596679688,77.28924560546875,62.722162308846286,3.9755752086639404,352.82342529296875,1.7181792259216309,0
2007,1,1,12,30,196,48,218,60,969,500,7,-3.6292785644531023,0.08822021484377274,748.4661865234375,76.06546020507812,62.99875938984569,4.0750861167907715,352.82342529296875,1.6970113515853882,0
2007,1,1,13,0,202,244,309,59,959,479,7,-3.8547119140624773,0.07958374023439774,748.43115234375,74.84020233154297,64.04384302343131,4.174596786499023,9.263694763183594,1.6758434772491455,0
2007,1,1,13,30,75,0,75,58,942,444,7,-3.9851135253906023,0.0020385742187727374,748.5925903320312,74.53047943115234,65.81995166661133,4.256822109222412,9.263694763183594,1.5686349868774414,0
2007,1,1,14,0,81,0,81,55,915,394,7,-4.116705322265602,-0.07550659179685226,748.7540283203125,74.21482849121094,68.26857134664863,4.339047908782959,15.834381103515625,1.4614264965057373,0
2007,1,1,14,30,51,877,332,51,877,332,0,-4.747869873046852,-0.44040527343747726,748.9536743164062,72.67483520507812,71.31837700280167,4.377137660980225,15.834381103515625,1.3067234754562378,0
2007,1,1,15,0,46,819,260,46,819,260,0,-5.407354736328102,-0.8053039550781023,749.1533203125,71.00177764892578,74.89325470614315,4.41522741317749,9.340400695800781,1.1520204544067383,0
2007,1,1,15,30,39,731,180,39,731,180,0,-7.893774414062477,-2.6922058105468523,749.2470703125,67.41912078857422,78.91851496365933,4.432377815246582,9.340400695800781,1.0829741954803467,0
2007,1,1,16,0,30,583,97,30,583,97,0,-10.901525878906227,-4.579138183593727,749.3408203125,61.309085845947266,83.32476782697304,4.449527740478516,349.7020263671875,1.0139280557632446,0
2007,1,1,16,30,25,0,25,15,301,25,7,-12.366430664062477,-6.025274658203102,749.462890625,60.846065521240234,88.04933611799778,4.425436496734619,349.7020263671875,1.1637227535247803,4
