Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,466290,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2008,1,1,0,0,0,0,0,0,0,0,0,-24.364324951171852,-14.771978759765602,754.288330078125,43.90406036376953,163.2936330784216,0.9934645891189575,286.83306884765625,5.0012736320495605,0
2008,1,1,0,30,0,0,0,0,0,0,0,-24.604467773437477,-15.000524902343727,754.434814453125,43.784446716308594,162.424317638282,0.9543589353561401,286.83306884765625,4.922128677368164,0
2008,1,1,1,0,0,0,0,0,0,0,0,-24.84947814941404,-15.229040527343727,754.5812377929688,43.645484924316406,159.52486113437737,0.9152532815933228,284.7989196777344,4.842983722686768,0
2008,1,1,1,30,0,0,0,0,0,0,0,-25.157049560546852,-15.473852539062477,754.6290283203125,43.32000732421875,155.3108726702643,0.8708558678627014,284.7989196777344,4.8335418701171875,0
2008,1,1,2,0,0,0,0,0,0,0,0,-25.472570800781227,-15.718664550781227,754.6767578125,42.96451950073242,150.35322038117587,0.8264584541320801,283.46575927734375,4.824099540710449,0
2008,1,1,2,30,0,0,0,0,0,0,-15,-25.84905090332029,-15.910437011718727,754.6237182617188,42.18890380859375,144.98586775505666,0.8114097714424133,283.46575927734375,4.828299522399902,1
2008,1,1,3,0,0,0,0,0,0,0,0,-26.237448120117165,-16.102209472656227,754.5706787109375,41.37852096557617,139.39379382745273,0.7963610887527466,282.7447509765625,4.832499980926514,0
2008,1,1,3,30,0,0,0,0,0,0,-15,-26.601324462890602,-16.246374511718727,754.6041259765625,40.50977325439453,133.68430392288272,0.7905510663986206,282.7447509765625,4.840707778930664,1
2008,1,1,4,0,0,0,0,0,0,0,-15,-26.97649230957029,-16.390509033203102,754.6375122070312,39.61430358886719,127.92519785014561,0.7847410440444946,281.52386474609375,4.8489155769348145,1
2008,1,1,4,30,0,0,0,0,0,0,-15,-27.274679565429665,-16.492681884765602,754.8697509765625,38.873531341552734,122.16398583772391,0.7828422784805298,281.52386474609375,4.868487358093262,1
2008,1,1,5,0,0,0,0,0,0,0,0,-27.580633544921852,-16.594824218749977,755.1019287109375,38.11665344238281,116.43788128398603,0.7809435725212097,280.45928955078125,4.888059616088867,0
2008,1,1,5,30,0,0,0,0,0,0,0,-27.76500549316404,-16.643194580078102,755.322998046875,37.62492370605469,110.77937299789868,0.78643399477005,280.45928955078125,4.907992362976074,0
2008,1,1,6,0,0,0,0,0,0,0,0,-27.952337646484352,-16.691564941406227,755.5441284179688,37.128265380859375,105.21964129808535,0.7919244170188904,279.80841064453125,4.927925109863281,0
2008,1,1,6,30,0,0,0,0,0,0,0,-28.011175537109352,-16.563970947265602,755.721923828125,36.53490447998047,99.7909066320197,0.8050947785377502,279.80841064453125,4.955156326293945,0
2008,1,1,7,0,0,0,0,0,0,0,0,-28.07030334472654,-16.436376953124977,755.8997192382812,35.950313568115234,94.52824811624141,0.8182651400566101,279.1025390625,4.982388019561768,0
2008,1,1,7,30,0,0,0,0,0,0,1,-27.355200195312477,-15.303137207031227,756.2728881835938,34.95773696899414,89.46776175947355,0.8414758443832397,279.1025390625,4.87125825881958,0
2008,1,1,8,0,28,566,80,28,566,80,0,-26.679907226562477,-14.169927978515602,756.6460571289062,33.88578414916992,84.66361955056462,0.8646864891052246,277.85906982421875,4.760128498077393,0
2008,1,1,8,30,39,744,166,39,744,166,0,-24.67003479003904,-12.473486328124977,756.9578857421875,35.428306579589844,80.1608100611377,0.8682966828346252,277.85906982421875,4.5978522300720215,0
2008,1,1,9,0,47,847,252,47,847,252,0,-22.941595458984352,-10.777075195312477,757.2696533203125,36.08448028564453,76.02040224725917,0.8719068169593811,279.19085693359375,4.43557596206665,0
2008,1,1,9,30,53,911,330,53,911,330,0,-21.679083251953102,-9.209722900390602,757.3370361328125,35.631935119628906,72.30985329581932,0.8968302607536316,279.19085693359375,4.3850417137146,0
2008,1,1,10,0,57,953,397,57,953,397,0,-20.531500244140602,-7.642370605468727,757.4044189453125,34.850616455078125,69.10257932876767,0.9217537045478821,283.47412109375,4.334507465362549,0
2008,1,1,10,30,60,980,451,60,980,451,0,-19.480902099609352,-6.548071289062477,757.1956787109375,35.069732666015625,66.47476634424959,0.9710264801979065,283.47412109375,4.215611934661865,0
2008,1,1,11,0,62,998,492,62,998,492,0,-18.510107421874977,-5.453771972656227,756.9869995117188,35.049320220947266,64.49981522884671,1.0202993154525757,287.273681640625,4.096716403961182,0
2008,1,1,11,30,63,1006,517,63,1006,517,0,-17.696051025390602,-4.720037841796852,756.7018432617188,35.522525787353516,63.24072998016244,1.0974698066711426,287.273681640625,3.933694362640381,0
2008,1,1,12,0,64,1008,526,64,1008,526,0,-16.930151367187477,-3.9863037109374773,756.4166870117188,35.85158157348633,62.74172975050759,1.17464017868042,289.13409423828125,3.770672082901001,0
2008,1,1,12,30,63,1004,519,63,1004,519,0,-16.436346435546852,-3.6293701171874773,756.2896728515625,36.37769317626953,63.021297007642346,1.2745482921600342,289.13409423828125,3.590919017791748,0
2008,1,1,13,0,62,992,496,62,992,496,0,-15.960394287109352,-3.2724060058593523,756.1626586914062,36.85311508178711,64.06900846101486,1.3744564056396484,289.26324462890625,3.411166191101074,0
2008,1,1,13,30,60,974,459,60,974,459,0,-16.005987548828102,-3.4139770507812273,756.215576171875,37.10332489013672,65.84734038727909,1.4793853759765625,289.26324462890625,3.342155933380127,0
2008,1,1,14,0,57,946,407,57,946,407,0,-16.051733398437477,-3.5555480957031023,756.2684326171875,37.3551025390625,68.29776318076969,1.5843144655227661,291.9991455078125,3.2731454372406006,0
