Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,466290,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2015,1,1,0,0,0,0,0,0,0,0,0,-41.92156066894529,-11.879553222656227,745.0198364257812,58.389217376708984,163.26756199947107,3.2550883293151855,222.12205505371094,3.296987771987915,0
2015,1,1,0,30,0,0,0,0,0,0,0,-39.825338745117165,-11.788336181640602,744.81884765625,60.663360595703125,162.40893461970379,3.275378942489624,222.12205505371094,3.3717548847198486,0
2015,1,1,1,0,0,0,0,0,0,0,0,-37.8172668457031,-11.697088623046852,744.6178588867188,62.90031814575195,159.51924230670448,3.2956695556640625,223.04440307617188,3.4465219974517822,0
2015,1,1,1,30,0,0,0,0,0,0,0,-36.331442260742165,-11.603796386718727,744.3670043945312,64.56723022460938,155.3120628179609,3.345465660095215,223.04440307617188,3.428023338317871,0
2015,1,1,2,0,0,0,0,0,0,0,0,-34.896200561523415,-11.510534667968727,744.1161499023438,66.20515441894531,150.35867600791326,3.395261764526367,227.13539123535156,3.409524440765381,0
2015,1,1,2,30,0,0,0,0,0,0,0,-33.565573120117165,-11.454412841796852,743.8092041015625,67.78583526611328,144.9938850664073,3.4553229808807373,227.13539123535156,3.273158550262451,0
2015,1,1,3,0,0,0,0,0,0,0,0,-32.27043762207029,-11.398291015624977,743.502197265625,69.34976959228516,139.40327101314074,3.5153841972351074,231.47872924804688,3.1367924213409424,0
2015,1,1,3,30,0,0,0,0,0,0,0,-31.048101806640602,-11.477575683593727,743.2630004882812,71.00847625732422,133.6945029266908,3.633269786834717,231.47872924804688,2.8544704914093018,0
2015,1,1,4,0,0,0,0,0,0,0,0,-29.83611145019529,-11.556860351562477,743.0238037109375,72.68505096435547,127.93559376836691,3.7511556148529053,234.79600524902344,2.572148561477661,0
2015,1,1,4,30,0,0,0,0,0,0,0,-29.030767822265602,-12.079687499999977,742.8709106445312,74.40328216552734,122.17417867622439,3.9109718799591064,234.79600524902344,2.1097259521484375,0
