Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,466290,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2012,1,1,0,0,0,0,0,0,0,0,4,-21.54784240722654,-6.795416259765602,752.958740234375,29.889148712158203,163.2908100534848,2.4392383098602295,272.7939453125,4.673261642456055,0
2012,1,1,0,30,0,0,0,0,0,0,7,-21.495275878906227,-6.826635742187477,753.0035400390625,30.098655700683594,162.42195620467623,2.5556726455688477,272.7939453125,4.656770706176758,0
2012,1,1,1,0,0,0,0,0,0,0,7,-21.44292297363279,-6.857855224609352,753.04833984375,30.309032440185547,159.52305834297397,2.672106981277466,269.9462890625,4.640280246734619,0
2012,1,1,1,30,0,0,0,0,0,0,6,-21.335958862304665,-6.812780761718727,753.2099609375,30.487329483032227,155.30951843387106,2.8570234775543213,269.9462890625,4.653197288513184,0
2012,1,1,2,0,0,0,0,0,0,0,6,-21.229833984374977,-6.767675781249977,753.3716430664062,30.664113998413086,150.35217038122207,3.0419397354125977,271.891845703125,4.666114330291748,0
2012,1,1,2,30,0,0,0,0,0,0,6,-21.03465881347654,-6.637609863281227,753.5416870117188,30.879619598388672,144.985009113112,3.2515413761138916,271.891845703125,4.680302143096924,0
2012,1,1,3,0,0,0,0,0,0,0,6,-20.84233703613279,-6.507543945312477,753.7117309570312,31.088356018066406,139.39304704843346,3.4611427783966064,275.1646423339844,4.6944899559021,0
2012,1,1,3,30,0,0,0,0,0,0,6,-20.624578857421852,-6.419165039062477,753.9108276367188,31.467134475708008,133.68361293645546,3.643610954284668,275.1646423339844,4.688353061676025,0
2012,1,1,4,0,0,0,0,0,0,0,7,-20.410345458984352,-6.330816650390602,754.1099243164062,31.83989906311035,127.92452160334146,3.8260788917541504,277.28668212890625,4.682216167449951,0
2012,1,1,4,30,0,0,0,0,0,0,4,-20.263571166992165,-6.267675781249977,754.3714599609375,32.09083557128906,122.16329271585995,3.9507195949554443,277.28668212890625,4.658897399902344,0
