Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,466290,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,10,0,56,911,382,56,911,382,0,-278.3380188,3.781365967,742.4924927,31.96579838,69.0815942,3.323894262,253.5541229,5.983353138,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,10,30,59,941,435,59,941,435,0,-277.8541321,4.273217773,742.411377,30.2990427,66.44424337,3.27842021,253.5541229,5.883167744,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,11,0,61,961,476,61,961,476,0,-277.3700928,4.765039063,742.3303223,28.72365856,64.4593728,3.232946157,252.5005035,5.782982349,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,11,30,63,972,501,63,972,501,0,-277.1571716,4.981347656,742.1894531,28.24598408,63.19032241,3.238236427,252.5005035,5.662384033,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,12,0,63,976,511,63,976,511,0,-276.94422,5.197686768,742.048584,27.77561569,62.68170376,3.243526697,251.5879211,5.541785717,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,12,30,63,973,505,63,973,505,0,-277.0039429,5.137017822,742.2033081,28.12691593,62.95238552,3.286405325,251.5879211,5.363771915,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,13,0,62,964,484,62,964,484,0,-277.0635742,5.076379395,742.3580322,28.48727512,63.99225372,3.329283953,251.632309,5.185758114,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,13,30,60,947,449,60,947,449,0,-277.4553894,4.67824707,742.7655029,29.51440144,65.76396757,3.366452456,251.632309,4.940748215,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,14,0,57,921,399,57,921,399,1,-277.847113,4.280114746,743.1730347,30.56198502,68.20904177,3.403620958,252.4157715,4.695737839,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,14,30,53,882,337,53,882,337,1,-278.7051453,3.407830811,743.4677124,32.74702644,71.25610292,3.389649868,252.4157715,4.294651508,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,15,0,48,825,264,48,825,264,0,-279.5625671,2.535546875,743.7623901,35.0802269,74.82894041,3.375678778,253.1833496,3.893565416,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,15,30,41,736,184,41,736,184,0,-280.919928,1.153436279,744.0480957,39.43270683,78.85274973,3.362406254,253.1833496,3.547390223,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,16,0,31,587,100,31,587,100,0,-282.2753357,-0.228674316,744.3338013,44.31768227,83.25802612,3.34913373,252.326889,3.201215029,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,16,30,15,301,26,15,301,26,0,-282.8775391,-0.84354248,744.6911621,45.9615097,87.98202206,3.370335579,252.326889,3.106344223,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,17,0,0,0,0,0,0,0,0,-283.4792542,-1.458410645,745.0485229,47.65149689,92.9745364,3.391537428,252.9145813,3.011473417,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,17,30,0,0,0,0,0,0,0,-283.8089661,-1.795629883,745.401001,48.06559753,98.18280869,3.435120344,252.9145813,2.939473152,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,18,0,0,0,0,0,0,0,0,-284.1385254,-2.132818604,745.753418,48.47274399,103.5678886,3.478703499,254.0197601,2.867473125,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,18,30,0,0,0,0,0,0,0,-284.4568848,-2.458776855,746.0460205,48.30003738,109.0934791,3.527033091,254.0197601,2.873290777,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,19,0,0,0,0,0,0,0,0,-284.7751526,-2.784735107,746.3386841,48.11455727,114.7265958,3.575362921,254.8358612,2.879108429,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,19,30,0,0,0,0,0,0,0,-285.0757813,-3.092779541,746.5103149,47.78246307,120.4358311,3.627919197,254.8358612,2.9584198,0,,,,,,,,,,,,,,,,,,,,,,,,,
