Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,997743,-,-,-,27.97,-82.46,-5,8,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Solar Zenith Angle,Wind Speed
2008,1,1,0,0,0,0,0,21.046289062500023,100.0,171.0770953190974,1.5532598495483398
2008,1,1,0,30,0,0,0,20.860803222656273,100.0,175.03219717937915,1.5881253480911255
2008,1,1,1,0,0,0,0,20.675317382812523,100.0,172.17738111004152,1.6229908466339111
2008,1,1,1,30,0,0,0,20.514794921875023,100.0,166.25053475495798,1.6528812646865845
2008,1,1,2,0,0,0,0,20.354272460937523,99.53820037841797,159.80516490254314,1.6827716827392578
2008,1,1,2,30,0,0,0,20.146203613281273,99.26124572753906,153.2265202305946,1.7877647876739502
2008,1,1,3,0,0,0,0,19.938104248046898,98.96175384521484,146.6092289892394,1.8927578926086426
2008,1,1,3,30,0,0,0,19.846002197265648,98.72028350830078,139.99062627998896,2.052340507507324
2008,1,1,4,0,0,0,0,19.753869628906273,98.47339630126953,133.39167867303635,2.211923360824585
2008,1,1,4,30,0,0,0,19.727655029296898,98.4885482788086,126.82796124825364,2.375680923461914
2008,1,1,5,0,0,0,0,19.701440429687523,98.50348663330078,120.31363887803595,2.5394387245178223
2008,1,1,5,30,0,0,0,19.699792480468773,98.65087127685547,113.86337439084744,2.741877555847168
2008,1,1,6,0,0,0,0,19.698175048828148,98.79811096191406,107.49356652900948,2.9443166255950928
2008,1,1,6,30,0,0,0,19.732446289062523,98.61116790771484,101.22342109445157,3.1692895889282227
2008,1,1,7,0,0,0,0,19.766748046875023,98.4244384765625,95.07608536709371,3.3942623138427734
2008,1,1,7,30,0,0,0,19.937799072265648,96.481201171875,89.07639832493587,3.6500558853149414
2008,1,1,8,0,41,146,58,20.108850097656273,94.569091796875,83.26923409096165,3.9058494567871094
2008,1,1,8,30,63,416,152,20.478784179687523,91.059814453125,77.69103998005528,4.121762275695801
2008,1,1,9,0,94,440,228,20.848718261718773,87.66641235351562,72.39887761065802,4.337674617767334
2008,1,1,9,30,158,64,183,21.156213378906273,82.5987319946289,67.46230604126214,4.484635353088379
2008,1,1,10,0,192,269,315,21.463708496093773,77.69725036621094,62.96680805888769,4.631596565246582
2008,1,1,10,30,229,85,273,21.713769531250023,72.22166442871094,59.0147932112795,4.731393814086914
2008,1,1,11,0,246,60,280,21.963800048828148,66.90571594238281,55.723294869664656,4.831191539764404
2008,1,1,11,30,156,0,156,21.940148925781273,61.85451126098633,53.216037930399814,4.980319023132324
2008,1,1,12,0,192,4,195,21.916528320312523,56.79827880859375,51.60819977373321,5.129446506500244
2008,1,1,12,30,291,84,344,21.685937500000023,53.2702522277832,50.98540718826049,5.313051223754883
2008,1,1,13,0,298,162,399,21.455377197265648,49.63735580444336,51.38367008918595,5.4966559410095215
2008,1,1,13,30,244,30,263,21.204309082031273,47.891456604003906,52.77978378488482,5.629258155822754
2008,1,1,14,0,151,0,151,20.953210449218773,46.08174133300781,55.09759421086509,5.7618608474731445
2008,1,1,14,30,184,7,188,20.392449951171898,46.04779815673828,58.22654885385312,5.823335647583008
2008,1,1,15,0,134,0,134,19.831689453125023,45.95842742919922,62.04324661134638,5.884809970855713
2008,1,1,15,30,149,351,290,19.158105468750023,46.90999221801758,66.42825216613824,5.936816215515137
2008,1,1,16,0,102,429,240,18.484552001953148,47.86542510986328,71.2755669534847,5.9888224601745605
